"CohortGroup","cohortname","TotalUsers","Days0to6","Days7to13","Days14to20","Days21to27","Days28to34","Days35to41","Days42to48","Days49to55","Days56to62","Days63to69","Days70to76","Days77to83","Days84to90","Days91to97","Days98to104","Days105to111","Days112to118","Days119to125","Days126to132","Days133to139","Days140to146","Days147to153","Days154to160","Days161to167","Days168to174","Days175to181","Days182to188"
11,"2015-03-11 to 2015-03-18",177,"50.28% orderers ( 89 )","24.86% orderers ( 44 )","18.08% orderers ( 32 )","20.9% orderers ( 37 )","17.51% orderers ( 31 )","14.69% orderers ( 26 )","17.51% orderers ( 31 )","18.08% orderers ( 32 )","10.73% orderers ( 19 )","14.69% orderers ( 26 )","14.69% orderers ( 26 )","10.73% orderers ( 19 )","13.56% orderers ( 24 )","12.99% orderers ( 23 )","13.56% orderers ( 24 )","12.99% orderers ( 23 )","4.52% orderers ( 8 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"50.28% 1st time ( 89 )","12.43% 1st time ( 22 )","5.08% 1st time ( 9 )","5.08% 1st time ( 9 )","3.95% 1st time ( 7 )","3.95% 1st time ( 7 )","3.95% 1st time ( 7 )","2.82% 1st time ( 5 )","2.26% 1st time ( 4 )","1.69% 1st time ( 3 )","1.13% 1st time ( 2 )","1.13% 1st time ( 2 )","1.13% 1st time ( 2 )","2.82% 1st time ( 5 )","1.69% 1st time ( 3 )","0.56% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
12,"2015-03-18 to 2015-03-25",141,"57.45% orderers ( 81 )","20.57% orderers ( 29 )","17.73% orderers ( 25 )","16.31% orderers ( 23 )","19.15% orderers ( 27 )","18.44% orderers ( 26 )","17.73% orderers ( 25 )","13.48% orderers ( 19 )","12.06% orderers ( 17 )","16.31% orderers ( 23 )","15.6% orderers ( 22 )","15.6% orderers ( 22 )","19.15% orderers ( 27 )","17.02% orderers ( 24 )","11.35% orderers ( 16 )","9.22% orderers ( 13 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"57.45% 1st time ( 81 )","11.35% 1st time ( 16 )","4.96% 1st time ( 7 )","3.55% 1st time ( 5 )","4.96% 1st time ( 7 )","2.13% 1st time ( 3 )","2.13% 1st time ( 3 )","3.55% 1st time ( 5 )","1.42% 1st time ( 2 )","0.71% 1st time ( 1 )","3.55% 1st time ( 5 )","0.71% 1st time ( 1 )","0.71% 1st time ( 1 )","1.42% 1st time ( 2 )","1.42% 1st time ( 2 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
13,"2015-03-25 to 2015-03-31",143,"55.24% orderers ( 79 )","19.58% orderers ( 28 )","27.27% orderers ( 39 )","18.18% orderers ( 26 )","19.58% orderers ( 28 )","15.38% orderers ( 22 )","16.08% orderers ( 23 )","18.18% orderers ( 26 )","13.99% orderers ( 20 )","13.99% orderers ( 20 )","21.68% orderers ( 31 )","20.98% orderers ( 30 )","17.48% orderers ( 25 )","20.28% orderers ( 29 )","8.39% orderers ( 12 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"55.24% 1st time ( 79 )","7.69% 1st time ( 11 )","9.09% 1st time ( 13 )","3.5% 1st time ( 5 )","4.9% 1st time ( 7 )","2.1% 1st time ( 3 )","3.5% 1st time ( 5 )","2.8% 1st time ( 4 )","1.4% 1st time ( 2 )","0.7% 1st time ( 1 )","2.1% 1st time ( 3 )","3.5% 1st time ( 5 )","1.4% 1st time ( 2 )","0.7% 1st time ( 1 )","1.4% 1st time ( 2 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
14,"2015-04-01 to 2015-04-07",133,"63.91% orderers ( 85 )","21.05% orderers ( 28 )","24.81% orderers ( 33 )","24.06% orderers ( 32 )","24.81% orderers ( 33 )","18.8% orderers ( 25 )","18.05% orderers ( 24 )","20.3% orderers ( 27 )","17.29% orderers ( 23 )","21.8% orderers ( 29 )","21.8% orderers ( 29 )","12.78% orderers ( 17 )","12.78% orderers ( 17 )","12.78% orderers ( 17 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"63.91% 1st time ( 85 )","8.27% 1st time ( 11 )","6.02% 1st time ( 8 )","7.52% 1st time ( 10 )","3.76% 1st time ( 5 )"," ( NA )","1.5% 1st time ( 2 )","3.01% 1st time ( 4 )","1.5% 1st time ( 2 )"," ( NA )","1.5% 1st time ( 2 )","0.75% 1st time ( 1 )"," ( NA )","2.26% 1st time ( 3 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
15,"2015-04-08 to 2015-04-14",138,"63.04% orderers ( 87 )","24.64% orderers ( 34 )","23.91% orderers ( 33 )","17.39% orderers ( 24 )","21.01% orderers ( 29 )","18.84% orderers ( 26 )","16.67% orderers ( 23 )","12.32% orderers ( 17 )","19.57% orderers ( 27 )","16.67% orderers ( 23 )","20.29% orderers ( 28 )","15.22% orderers ( 21 )","10.14% orderers ( 14 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"63.04% 1st time ( 87 )","11.59% 1st time ( 16 )","5.8% 1st time ( 8 )","5.07% 1st time ( 7 )","2.17% 1st time ( 3 )","2.17% 1st time ( 3 )","1.45% 1st time ( 2 )"," ( NA )","0.72% 1st time ( 1 )","2.17% 1st time ( 3 )","2.17% 1st time ( 3 )","1.45% 1st time ( 2 )","2.17% 1st time ( 3 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
